﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Division No.  9,4809,465,3%,0,0%,8,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,140,1%,0,0%,3,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 10,4810,2250,4%,23,12%,40,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,745,1%,15,8%,12,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Calgary-Edmonton,Division No. 11,4811,71020,8%,230,5%,2527,18%,151760,8%,362,6%,4796,18%,4948830,21%,77529,44%,140643,40%,25195,3%,127,3%,871,6%,48575,2%,190,3%,1445,5%,1607390,7%,37000,21%,36077,10%
N/A,Division No. 12,4812,4905,11%,7,2%,126,17%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2545,6%,9,3%,48,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 13,4813,2090,5%,2,8%,26,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,825,2%,0,0%,5,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 14,4814,1295,6%,0,0%,14,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,480,2%,0,0%,6,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 15,4815,5305,19%,0,0%,39,21%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1320,5%,0,0%,16,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 16,4816,4270,8%,0,0%,106,22%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1915,3%,0,0%,37,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 17,4817,1265,3%,0,0%,15,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,595,2%,0,0%,5,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 18,4818,340,4%,0,0%,25,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,140,1%,0,0%,10,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Division No. 19,4819,6440,8%,4,5%,83,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,2965,4%,0,0%,27,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,East Kootenay,5901,2330,6%,0,0%,23,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,680,2%,1,2%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Central Kootenay,5903,2980,8%,1,3%,32,18%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,710,2%,0,0%,4,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kootenay Boundary,5905,960,5%,1,2%,13,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,245,1%,0,0%,3,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Okanagan-Similkameen,5907,3230,7%,7,3%,53,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,905,2%,6,3%,10,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Fraser Valley,5909,9010,5%,14,1%,241,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1945,1%,19,1%,30,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Greater Vancouver,Greater Vancouver,5915,127075,8%,354,5%,2935,15%,127075,8%,354,5%,2935,15%,4948830,21%,77529,44%,140643,40%,28900,2%,101,1%,534,3%,28900,2%,101,1%,534,3%,1607390,7%,37000,21%,36077,10%
N/A,Capital,5917,26155,11%,68,2%,853,17%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,4975,2%,51,1%,188,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Cowichan Valley,5919,2940,6%,0,0%,58,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,620,1%,0,0%,7,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Nanaimo,5921,6150,7%,20,4%,157,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1245,1%,3,1%,21,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Alberni-Clayoquot,5923,1085,6%,0,0%,22,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,255,1%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Strathcona,5924,1900,7%,0,0%,26,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,440,2%,0,0%,8,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Comox Valley,5926,3925,10%,0,0%,89,16%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1040,3%,0,0%,25,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Powell River,5927,815,7%,0,0%,3,6%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,295,2%,0,0%,2,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Sunshine Coast,5929,1390,8%,0,0%,10,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,305,2%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Squamish-Lillooet,5931,4090,13%,0,0%,43,26%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1155,4%,0,0%,13,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Thompson-Nicola,5933,4545,5%,6,3%,105,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,830,1%,3,2%,16,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Central Okanagan,5935,8575,7%,8,5%,156,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1975,2%,4,3%,32,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,North Okanagan,5937,2985,6%,0,0%,24,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,590,1%,0,0%,6,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Columbia-Shuswap,5939,2320,7%,0,0%,25,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,625,2%,0,0%,6,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Cariboo,5941,1420,4%,0,0%,12,6%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,375,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Mount Waddington,5943,265,4%,0,0%,3,4%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,75,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Central Coast,5945,70,3%,0,0%,2,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,25,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Skeena-Queen Charlotte,5947,605,5%,8,4%,20,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,110,1%,0,0%,3,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kitimat-Stikine,5949,1420,6%,1,1%,19,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,510,2%,0,0%,3,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Bulkley-Nechako,5951,1200,5%,0,0%,11,9%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,270,1%,1,3%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Fraser-Fort George,5953,3000,5%,4,4%,74,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,710,1%,0,0%,12,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Peace River,5955,1850,4%,0,0%,23,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,425,1%,0,0%,2,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Stikine,5957,20,4%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,5,1%,1,25%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Northern Rockies,5959,110,3%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,45,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Yukon,6001,3600,14%,11,4%,98,22%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1235,5%,8,3%,30,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 1,6101,200,5%,0,0%,9,14%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,55,1%,0,0%,2,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 2,6102,75,5%,0,0%,5,28%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,25,2%,0,0%,2,11%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 3,6103,15,1%,0,0%,1,7%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,5,0%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 4,6104,75,3%,0,0%,2,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,25,1%,0,0%,1,8%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 5,6105,285,6%,0,0%,10,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,135,3%,0,0%,4,6%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Region 6,6106,2355,16%,13,4%,174,27%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,765,5%,13,4%,58,9%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Baffin,6204,970,8%,14,7%,99,26%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,430,4%,16,8%,39,10%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Keewatin,6205,175,3%,0,0%,7,12%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,55,1%,0,0%,2,4%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Kitikmeot,6208,95,2%,0,0%,6,32%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,30,1%,0,0%,1,5%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
