﻿OLMC,cdname,cduid,csd_census_pop,sh_csd_census_pop,csd_ps_pop,sh_csd_ps_pop,csd_appl,sh_csd_appl,OLMC_census_pop,sh_OLMC_census_pop,OLMC_ps_pop,sh_OLMC_ps_pop,OLMC_appl,sh_OLMC_appl,CAN_census_pop,sh_CAN_census_pop,CAN_ps_pop,sh_CAN_ps_pop,CAN_appl,sh_CAN_appl,FOL_csd_census_pop,sh_FOL_csd_census_pop,FOL_csd_ps_pop,sh_FOL_csd_ps_pop,FOL_csd_appl,sh_FOL_csd_appl,FOL_OLMC_census_pop,sh_FOL_OLMC_census_pop,FOL_OLMC_ps_pop,sh_FOL_OLMC_ps_pop,FOL_OLMC_appl,sh_FOL_OLMC_appl,FOL_CAN_census_pop,sh_FOL_CAN_census_pop,FOL_CAN_ps_pop,sh_FOL_CAN_ps_pop,FOL_CAN_appl,sh_FOL_CAN_appl
N/A,Lambton,3538,4505,6%,35,7%,111,13%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,1265,2%,9,2%,11,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Middlesex,3539,20975,7%,29,6%,550,16%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,4830,2%,11,2%,103,3%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Huron,3540,1085,3%,0,0%,8,8%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,210,1%,0,0%,1,1%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Bruce,3541,2185,5%,0,0%,15,11%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,390,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Grey,3542,3235,6%,0,0%,42,15%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,540,1%,0,0%,5,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Toronto Area,Simcoe,3543,22000,7%,87,10%,400,16%,467995,8%,1172,9%,10315,17%,4948830,21%,77529,44%,140643,40%,7210,2%,69,8%,117,5%,127645,2%,358,3%,1807,3%,1607390,7%,37000,21%,36077,10%
N/A,Muskoka,3544,2360,6%,12,3%,40,10%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,460,1%,7,2%,7,2%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Haliburton,3546,535,5%,0,0%,0,0%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,100,1%,0,0%,0,0%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
N/A,Renfrew,3547,8815,14%,28,5%,390,24%,.,.,.,.,.,.,4948830,21%,77529,44%,140643,40%,3325,5%,32,5%,114,7%,.,.,.,.,.,.,1607390,7%,37000,21%,36077,10%
Northern Ontario,Nipissing,3548,17970,34%,46,36%,277,40%,100915,41%,378,48%,806,50%,4948830,21%,77529,44%,140643,40%,11725,22%,31,24%,124,18%,69140,28%,224,28%,368,23%,1607390,7%,37000,21%,36077,10%
